1;Afghanistan;5
2;Albania;1
3;Algeria;4
4;American Samoa;6
5;Andorra;1
6;Angola;4
7;Anguilla;3
8;Antigua and Barbuda;3
9;Argentina;2
10;Armenia;1
11;Aruba;3
12;Australia;5
13;Austria;1
14;Azerbaijan;1
15;Bahamas;3
16;Bahrain;5
17;Bangladesh;5
18;Barbados;3
19;Belarus;1
20;Belgium;1
21;Belize;3
22;Benin;4
23;Bermuda;3
24;Bhutan;5
25;Bolivia;2
26;Bonaire;3
27;Bosnia and Herzegovina;1
28;Botswana;4
29;Brazil;2
30;British Virgin Islands;3
31;Brunei;5
32;Bulgaria;1
33;Burkina Faso;4
34;Burundi;4
35;Cambodia;5
36;Cameroon;4
37;Canada;3
38;Cape Verde;4
39;Cayman Islands;3
40;Central African Republic;4
41;Chad;4
42;Chile;2
43;China PR;5
44;Chinese Taipei;5
45;Colombia;2
46;Comoros;4
47;Congo;4
48;Congo DR;4
49;Cook Islands;6
50;Costa Rica;3
51;Côte d'Ivoire;4
52;Croatia;1
53;Cuba;3
54;Curaçao;3
55;Cyprus;1
56;Czech Republic;1
57;Denmark;1
58;Djibouti;4
59;Dominica;3
60;Dominican Republic;3
61;Ecuador;2
62;Egypt;4
63;El Salvador;3
64;England;1
65;Equatorial Guinea;4
66;Eritrea;4
67;Estonia;1
68;Eswatini;4
69;Ethiopia;4
70;Faroe Islands;1
71;Fiji;6
72;Finland;1
73;France;1
74;French Guiana;3
75;Gabon;4
76;Gambia;4
77;Georgia;1
78;Germany;1
79;Ghana;4
80;Gibraltar;1
81;Greece;1
82;Grenada;3
83;Guadeloupe;3
84;Guam;5
85;Guatemala;3
86;Guinea;4
87;Guinea-Bissau;4
88;Guyana;3
89;Haiti;3
90;Honduras;3
91;Hong Kong;5
92;Hungary;1
93;Iceland;1
94;India;5
95;Indonesia;5
96;Iran;5
97;Iraq;5
98;Israel;1
99;Italy;1
100;Jamaica;3
101;Japan;5
102;Jordan;5
103;Kazakhstan;1
104;Kenya;4
105;Kiribati;6
106;Korea DPR;5
107;Korea Republic;5
108;Kosovo;1
109;Kuwait;5
110;Kyrgyzstan;5
111;Laos;5
112;Latvia;1
113;Lebanon;5
114;Lesotho;4
115;Liberia;4
116;Libya;4
117;Liechtenstein;1
118;Lithuania;1
119;Luxembourg;1
120;Macau;5
121;Madagascar;4
122;Malawi;4
123;Malaysia;5
124;Maldives;5
125;Mali;4
126;Malta;1
127;Martinique;3
128;Mauritania;4
129;Mauritius;4
130;Mexico;3
131;Moldova;1
132;Mongolia;5
133;Montenegro;1
134;Montserrat;3
135;Morocco;4
136;Mozambique;4
137;Myanmar;5
138;Namibia;4
139;Nepal;5
140;Netherlands;1
141;New Caledonia;6
142;New Zealand;6
143;Nicaragua;3
144;Niger;4
145;Nigeria;4
146;North Macedonia;1
147;Northern Ireland;1
148;Northern Mariana;5
149;Norway;1
150;Oman;5
151;Pakistan;5
152;Palestine;5
153;Panama;3
154;Papua New Guinea;6
155;Paraguay;2
156;Peru;2
157;Philippines;5
158;Poland;1
159;Portugal;1
160;Puerto Rico;3
161;Qatar;5
162;Republic of Ireland;1
163;Réunion;4
164;Romania;1
165;Russia;1
166;Rwanda;4
167;Saint Kitts and Nevis;3
168;Saint Lucia;3
169;Saint Martin;3
170;Saint Vincent and the Grenadines;3
171;Samoa;6
172;San Marino;1
173;Sao Tomé and Príncipe;4
174;Saudi Arabia;5
175;Scotland;1
176;Senegal;4
177;Serbia;1
178;Seychelles;4
179;Sierra Leone;4
180;Singapore;5
181;Sint Maarten;3
182;Slovakia;1
183;Slovenia;1
184;Solomon Islands;6
185;Somalia;4
186;South Africa;4
187;South Sudan;4
188;Spain;1
189;Sri Lanka;5
190;Sudan;4
191;Suriname;3
192;Sweden;1
193;Switzerland;1
194;Syria;5
195;Tahiti;6
196;Tajikistan;5
197;Tanzania;4
198;Thailand;5
199;Timor-Leste;5
200;Togo;4
201;Tonga;6
202;Trinidad and Tobago;3
203;Tunisia;4
204;Turkey;1
205;Turkmenistan;5
206;Turks and Caicos Islands;3
207;Tuvalu;6
208;Uganda;4
209;Ukraine;1
210;United Arab Emirates;5
211;United States;3
212;Uruguay;2
213;US Virgin Islands;3
214;Uzbekistan;5
215;Vanuatu;6
216;Venezuela;2
217;Vietnam;5
218;Wales;1
219;Yemen;5
220;Zambia;4
221;Zanzibar;4
222;Zimbabwe;4
